1	6	6	8	12	8	2	1
1	9	11	10	9	10	26	2
1	6	10	9	8	7	61	3
1	6	6	6	5	5	86	4
1	10	11	10	9	10	132	5
1	11	12	12	12	12	163	6
1	9	13	11	13	11	180	7
1	12	12	10	12	11	191	8
1	9	12	9	8	9	211	9
1	12	8	8	10	10	232	10
1	13	12	11	9	12	273	11
1	12	12	11	9	11	279	12
1	9	11	10	8	11	281	13
1	9	10	8	8	9	287	14
1	12	12	10	8	10	302	15
1	9	12	6	12	10	306	16
1	3	5	6	8	8	329	17
1	1	1	1	1	1	343	18
1	12	12	12	13	12	365	19
1	9	8	10	12	10	374	20
1	9	11	9	9	10	392	21
1	13	13	13	13	13	436	22
1	9	11	12	11	10	459	23
1	11	12	12	12	12	554	24
1	3	10	6	6	3	581	25
1	11	10	10	12	12	583	26
1	12	11	10	8	11	620	27
1	11	11	12	13	11	626	28
1	12	11	13	11	12	638	29
1	7	8	6	9	6	685	30
1	6	9	7	8	8	687	31
1	5	6	5	7	7	712	32
1	12	12	8	12	12	714	33
1	9	12	9	8	8	721	34
1	9	10	9	11	8	733	35
1	11	13	12	12	12	736	36
1	6	8	6	8	5	766	37
1	9	6	6	5	5	790	38
1	9	10	9	10	9	821	39
1	4	8	6	12	3	842	40
1	2	2	2	2	2	862	41
1	9	9	8	8	9	868	42
1	3	2	2	1	2	871	43
1	8	11	10	11	11	879	44
1	3	3	3	12	4	908	45
1	1	3	3	1	1	919	46
1	13	6	5	8	5	938	47
1	9	10	10	11	8	966	48
2	13	13	13	13	13	143	1
2	13	13	13	13	13	320	2
2	13	13	13	13	13	579	3
2	8	12	11	9	13	628	4
2	3	8	7	12	2	655	5
2	5	6	13	13	13	661	6
2	1	1	1	1	1	709	7
2	13	13	13	13	13	719	8
3	12	10	12	10	10	42	1
3	9	9	10	10	10	68	2
3	9	10	9	10	10	69	3
3	9	10	10	9	10	94	4
3	12	12	12	11	12	138	5
3	9	9	9	9	10	206	6
3	13	12	13	13	13	217	7
3	13	13	13	13	13	310	8
3	10	10	9	9	10	316	9
3	13	12	13	13	13	359	10
3	12	11	12	12	11	364	11
3	9	9	10	10	9	365	12
3	10	11	11	12	11	366	13
3	13	12	12	13	13	374	14
3	10	10	10	10	10	467	15
3	1	4	3	2	1	504	16
3	8	8	8	8	8	589	17
3	10	10	10	10	10	654	18
3	10	10	11	11	10	788	19
3	8	10	9	8	9	889	20
3	10	10	9	10	10	895	21
3	9	9	10	10	10	916	22
3	8	9	10	9	10	922	23
4	6	9	9	12	9	436	1
4	2	8	2	10	2	541	2
4	9	8	9	8	8	713	3
4	11	8	10	9	10	803	4
4	9	11	11	7	10	847	5
5	13	12	13	13	13	2	1
5	12	12	12	12	12	369	2
5	11	12	11	12	12	501	3
5	9	10	9	9	9	626	4
5	9	10	10	9	9	892	5
6	12	12	10	10	11	17	1
6	12	11	10	11	11	129	2
6	10	12	11	11	11	144	3
6	13	13	13	13	13	352	4
6	10	10	10	9	9	418	5
6	13	13	13	13	13	543	6
6	11	10	13	13	11	654	7
6	13	13	13	13	13	667	8
6	11	10	9	9	10	684	9
6	13	13	13	13	13	806	10
6	13	13	13	13	13	807	11
6	13	13	13	13	13	808	12
6	12	11	10	13	10	967	13
6	11	12	9	8	11	968	14
7	11	9	12	13	11	17	1
7	13	11	12	9	11	27	2
7	11	12	13	13	12	47	3
7	10	12	11	12	11	70	4
7	11	11	12	10	11	81	5
7	13	12	13	13	12	84	6
7	6	8	1	1	4	87	7
7	6	6	7	13	9	105	8
7	3	6	1	11	4	144	9
7	6	4	3	9	5	166	10
7	12	13	11	13	12	167	11
7	13	13	13	13	13	264	12
7	13	13	13	13	13	318	13
7	13	13	13	13	13	320	14
7	13	13	13	13	13	322	15
7	13	13	13	13	13	349	16
7	12	13	13	12	12	395	17
7	13	13	12	13	12	445	18
7	9	7	8	6	7	482	19
7	13	10	13	9	11	488	20
7	13	12	13	13	12	513	21
7	13	13	13	13	13	556	22
7	13	13	13	13	13	577	23
7	13	12	13	13	12	578	24
7	10	12	13	10	11	596	25
7	11	13	13	11	12	627	26
7	13	12	12	13	12	654	27
7	12	11	12	13	12	656	28
7	11	7	9	10	9	659	29
7	9	11	9	9	9	771	30
7	9	12	13	13	12	799	31
7	13	12	13	13	13	802	32
7	4	3	1	1	2	806	33
7	3	3	1	6	3	808	34
7	12	11	9	12	11	811	35
7	13	13	12	12	12	842	36
8	1	1	1	1	1	18	1
8	1	1	1	1	1	76	2
8	1	10	1	10	1	83	3
8	10	12	12	13	12	436	4
8	13	11	13	10	11	813	5
9	10	11	12	13	12	2	1
9	13	13	13	13	13	180	2
9	1	1	1	8	1	241	3
9	10	12	11	12	11	436	4
9	11	12	12	7	12	763	5
9	10	10	10	10	13	768	6
9	13	13	13	13	13	908	7
9	13	13	12	13	13	934	8
10	10	13	13	13	11	30	1
10	13	13	13	11	13	52	2
10	5	11	8	9	5	262	3
10	6	9	9	6	6	289	4
10	11	12	12	9	10	682	5
10	9	9	12	13	8	783	6
11	13	11	11	13	11	18	1
11	9	13	12	12	13	69	2
11	13	12	13	12	13	195	3
11	13	12	12	12	13	215	4
11	13	10	12	11	10	230	5
11	12	10	10	13	11	296	6
11	13	11	13	13	13	318	7
11	13	11	13	12	13	322	8
11	5	5	3	8	4	379	9
11	13	12	13	13	13	544	10
11	13	11	13	12	13	577	11
11	13	10	11	13	13	654	12
11	13	12	12	13	13	806	13
11	13	12	13	13	13	808	14
11	12	12	13	13	13	809	15
11	13	12	12	9	13	813	16
11	13	12	13	13	13	967	17
11	13	12	13	13	13	968	18
12	13	13	13	13	12	2	1
12	12	13	12	13	9	343	2
12	12	13	12	13	11	436	3
12	12	10	11	12	12	501	4
12	9	11	10	8	9	721	5
12	11	13	12	11	13	736	6
12	13	13	13	13	13	908	7
13	13	13	13	13	13	217	1
13	13	13	13	13	13	359	2
13	13	13	13	13	13	436	3
13	12	12	12	12	12	654	4
13	13	13	13	13	13	730	5
13	13	13	13	13	13	751	6
13	12	8	13	13	11	769	7
14	12	13	13	12	13	81	1
14	7	8	7	5	6	163	2
14	8	10	10	10	10	381	3
